Fold,Model,MAE,RMSE,R2,Scenario
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,PCA_VADER
3,Ridge,0.042434145284677434,0.05132497596328019,-0.44336124187258363,PCA_VADER
3,RF,0.04163440027227186,0.05084266961036152,-0.4163618552673931,PCA_VADER
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,PCA_VADER
4,Ridge,0.04682962385920098,0.06095847324412287,-1.3611002085144328,PCA_VADER
4,RF,0.0612576836928704,0.07592795227234334,-2.6631072300956866,PCA_VADER
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,PCA_VADER
5,Ridge,0.03533742968765395,0.04038882192636703,-0.5519821599466612,PCA_VADER
5,RF,0.04156634969615422,0.0517084392190908,-1.5438248851152099,PCA_VADER
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,PCA_FinBERT
1,Ridge,0.05742769934377532,0.06994735003158378,-3.529894398857178,PCA_FinBERT
1,RF,0.04926541453591379,0.0625628296469109,-2.623917585861563,PCA_FinBERT
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,PCA_FinBERT
2,Ridge,0.10649664710812402,0.13181706859600284,-1.5544433331343779,PCA_FinBERT
2,RF,0.10891296904485308,0.1423905529486178,-1.9806798191861952,PCA_FinBERT
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,PCA_FinBERT
3,Ridge,0.0354938842994964,0.045422306831325164,-0.13046183042487725,PCA_FinBERT
3,RF,0.04113180385450773,0.05060621285451617,-0.40321818898033035,PCA_FinBERT
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,PCA_FinBERT
4,Ridge,0.04546102704670046,0.058609959469501614,-1.1826751263008775,PCA_FinBERT
4,RF,0.06504951209811873,0.07954364474815946,-3.0202886030824905,PCA_FinBERT
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,PCA_FinBERT
5,Ridge,0.034556731357623355,0.03943590841041773,-0.4796127052352803,PCA_FinBERT
5,RF,0.040937733470076815,0.04948008774734577,-1.3292991894087849,PCA_FinBERT
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,PCA_ALL
1,Ridge,0.06333772726799863,0.07636713068236964,-4.3995615092564115,PCA_ALL
1,RF,0.049067419061437766,0.0636560446046998,-2.7516718526621555,PCA_ALL
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,PCA_ALL
2,Ridge,0.10404326350713546,0.12831977918570642,-1.4206956029700852,PCA_ALL
2,RF,0.10644986201523213,0.13979892330326335,-1.8731653966240036,PCA_ALL
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,PCA_ALL
3,Ridge,0.04375853494531651,0.05390792573084035,-0.5922922179636783,PCA_ALL
3,RF,0.041105251627683824,0.0500314424841037,-0.37152452772249744,PCA_ALL
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,PCA_ALL
4,Ridge,0.04457255720425844,0.05862475052417644,-1.1837769233706554,PCA_ALL
4,RF,0.05808694696112535,0.07398121668863858,-2.477676622637424,PCA_ALL
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,PCA_ALL
5,Ridge,0.035358514030617766,0.039857759278565504,-0.5114372211936253,PCA_ALL
5,RF,0.038149138441949726,0.045944159852626204,-1.0082833232835204,PCA_ALL
